candidate_id,candidate_name,state,race_type,year,district,election_stage,bad_campaign_url,bad_wikipedia_url,action,found_campaign_url
952,Verlina Reynolds-Jackson,New Jersey,State House,2025,15,general,http://aswreynoldsjackson.com,,clear_campaign_url_only,http://aswreynoldsjackson.com
1100,Josh Thomas,Virginia,State House,2025,21,general,https://jetforva.com/,,clear_campaign_url_only,https://jetforva.com/
1201,Jessica Anderson,Virginia,State House,2025,71,general,https://jess4va.com/,,clear_campaign_url_only,https://jess4va.com/
3832,Stuart Schmidt Jr.,Maryland,State House,2026,33,general,https://vote4stu.com/,,clear_campaign_url_only,https://vote4stu.com/
4670,John Bucy III,Texas,State House,2026,At-Large,general,http://www.BucyForTexas.com,,clear_campaign_url_only,http://www.BucyForTexas.com
17260,Scott Lemay,Texas,Mayor,2023,,general,http://www.kirkwatson.com,https://en.wikipedia.org/wiki/Kirk_Watson,clear_both,https://loweryfor901.com/
17274,Satya Rhodes-Conway,Wisconsin,Mayor,2023,,general,http://cityofmadison.com/mayor,,clear_campaign_url_only,http://cityofmadison.com/mayor
17278,Beth Weldon,Alaska,Mayor,2024,,general,http://juneau.org,"https://en.wikipedia.org/wiki/Juneau,_Alaska",clear_both,
5262,Jeff Zink,Arizona,US House,2024,3,general,http://biggsforarizona.com,https://en.wikipedia.org/wiki/Andy_Biggs,clear_both,http://biggsforarizona.com
5855,Brian Bob Kenderes,Ohio,US House,2024,14,general,http://joyceforcongress.com,https://en.wikipedia.org/wiki/David_Joyce_(politician),clear_both,http://joyceforcongress.com
6002,Alan Garza,Texas,US House,2024,29,general,http://sylviaforcongress.com,https://en.wikipedia.org/wiki/Sylvia_Garcia,clear_both,https://fifthofnovember2024.com/
17326,Monroe Nichols,Oklahoma,Mayor,2024,,general,https://web.archive.org/web/20130813235458/http://taylorfortulsa.com/,https://en.wikipedia.org/wiki/Kathy_Taylor_(politician),clear_both,
17359,Emilio Gonzalez,Florida,Mayor,2025,,general,https://www.miami.gov/My-Government/City-Officials/Mayor-Eileen-Higgins/,https://en.wikipedia.org/wiki/Eileen_Higgins,clear_both,https://www.emilioformiami.com/
17388,Tim Keller,New Mexico,Mayor,2025,,general,http://cabq.gov/mayor,,clear_campaign_url_only,http://cabq.gov/mayor
17391,Oscar Salazar Rodriguez,New Mexico,Mayor,2025,,general,https://facebook.com/CouncilorMichaelGarciaD2,https://en.wikipedia.org/wiki/2025_Santa_Fe_mayoral_election,clear_both,https://facebook.com/CouncilorMichaelGarciaD2
17405,Cory Bowman,Ohio,Mayor,2025,,general,https://aftabformayor.com/,https://en.wikipedia.org/wiki/Aftab_Pureval,clear_both,
17414,Daniel Rickenmann,South Carolina,Mayor,2025,,general,https://mayor.columbiasc.gov/,,clear_campaign_url_only,https://mayor.columbiasc.gov/
6251,Karen S Greenhalgh,Virginia,State House,2023,97,general,https://alexaskew.com/,https://en.wikipedia.org/wiki/Alex_Askew,clear_both,https://karengreenhalgh.com/
6248,Joshua Thomas,Virginia,State House,2023,21,general,https://jetforva.com/,,clear_campaign_url_only,https://jetforva.com/
6721,Josh Blakely,Virginia,State House,2023,50,general,https://jetforva.com/,https://en.wikipedia.org/wiki/Josh_Thomas_(politician),clear_both,https://electjon.com/
6262,John T Stirrup,Virginia,State House,2023,21,general,http://governor.virginia.gov,https://en.wikipedia.org/wiki/List_of_governors_of_Virginia,clear_both,https://stirrupfordelegate.com/
6263,Travis Nembhard,Virginia,State House,2023,22,general,http://suhasforvirginia.com,https://en.wikipedia.org/wiki/Suhas_Subramanyam,clear_both,https://nembhardforvirginia.com
6553,Gregory Moulthrop,Virginia,State Senate,2023,32,general,http://suhasforvirginia.com,https://en.wikipedia.org/wiki/Suhas_Subramanyam,clear_both,http://suhasforvirginia.com
6268,Susanna S Gibson,Virginia,State House,2023,57,general,https://votedavidowen.com/,https://en.wikipedia.org/wiki/David_Owen_(Virginia_politician),clear_both,https://votedavidowen.com/
6335,Terry L Austin,Virginia,State House,2023,37,general,https://votedavidowen.com/,https://en.wikipedia.org/wiki/David_Owen_(Virginia_politician),clear_both,https://votedavidowen.com/
6290,Riley Shaia,Virginia,State House,2023,58,general,https://www.rodwillett.com/,https://en.wikipedia.org/wiki/Rodney_Willett,clear_both,https://ivoterguide.com/candidate/75838/race/18985/election/1054
6647,Katie Ford,Pennsylvania,State House,2023,163,general,https://www.parliament.scot/msps/current-and-previous-msps/kate-forbes,https://en.wikipedia.org/wiki/Kate_Forbes,clear_both,https://www.katiefordpa163.com/
6343,Andrew B (Andy) Pittman,Virginia,State House,2023,94,general,https://andybeshear.com/,https://en.wikipedia.org/wiki/Andy_Beshear,clear_both,https://www.andyfornorfolk.com/
6366,Jessica Anderson,Virginia,State House,2023,71,general,https://jess4va.com/,,clear_campaign_url_only,https://jess4va.com/
