Unnamed: 0,cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,contributions,percentage_votes,in_db,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
0,NICK BEGICH,2024,federal:house,AK,0,REPUBLICAN,unknown,Won,unknown,0.484137701,True,https://www.alaskansfornickbegich.com,https://www.facebook.com/NickforAlaska,https://x.com/NickforAlaska,https://www.instagram.com/NickforAlaska,,https://www.facebook.com/nbegich,https://www.linkedin.com/in/nbegich/
1,MARY SATTLER PELTOLA,2024,federal:house,AK,0,DEMOCRAT,unknown,Lost,unknown,0.463740499,True,https://marypeltola.com/,,,,,,
2,BARRY MOORE,2024,federal:house,AL,1,REPUBLICAN,unknown,Won,unknown,0.784040818,True,http://barrymooreforcongress.com,,,,,,
3,TOM HOLMES,2024,federal:house,AL,1,DEMOCRAT,unknown,Lost,unknown,0.215031499,True,https://www.tomholmesal.com,https://www.facebook.com/profile.php?id=61553656102427,,,,https://www.facebook.com/tom.holmes.3781,https://www.linkedin.com/in/tom-holmes-2478a221/
4,SHOMARI FIGURES,2024,federal:house,AL,2,DEMOCRAT,unknown,Won,unknown,0.545582275,True,http://figuresforcongress.com,,,,,,
5,CAROLEENE DOBSON,2024,federal:house,AL,2,REPUBLICAN,unknown,Lost,unknown,0.453661702,True,https://www.dobsonforalabama.com,https://www.facebook.com/DobsonforAlabama/,https://x.com/DobsonForAL,https://www.instagram.com/dobsonforalabama/,https://www.maynardnexsen.com/professionals-caroleene-hardee-dobson,,https://www.linkedin.com/in/caroleene-hardee-dobson-a3319559/
6,MIKE ROGERS,2024,federal:house,AL,3,REPUBLICAN,unknown,Won,unknown,0.979277774,True,http://mikerogersforcongress.com,,,,,,
7,ROBERT B. ADERHOLT,2024,federal:house,AL,4,REPUBLICAN,unknown,Won,unknown,0.987857719,True,https://aderholtforcongress.org/about-robert,,,,,,
8,DALE W. STRONG,2024,federal:house,AL,5,REPUBLICAN,unknown,Won,unknown,0.953934682,True,https://www.dalestrongforcongress.com,https://www.facebook.com/strongforalabama/,,,,https://www.facebook.com/dale.strong.92,https://www.linkedin.com/in/dale-strong-aa5166264/
9,GARY J. PALMER,2024,federal:house,AL,6,REPUBLICAN,unknown,Won,unknown,0.703183556,False,https://palmerforalabama.com/,,,,,,
10,ELIZABETH ANDERSON,2024,federal:house,AL,6,DEMOCRAT,unknown,Lost,unknown,0.295720159,True,https://www.eaforcongress.com/vote,,,,,,https://www.linkedin.com/in/elizabeth-anderson-76b77840/
11,TERRI A. SEWELL,2024,federal:house,AL,7,DEMOCRAT,unknown,Won,unknown,0.636801719,False,https://sewellforcongress.com,https://www.facebook.com/sewell4congress/,https://x.com/Sewell4Congress,https://www.instagram.com/sewell4congress/,,https://www.facebook.com/TerriSewell4Congress,https://www.linkedin.com/in/terrisewell/
12,ROBIN LITAKER,2024,federal:house,AL,7,REPUBLICAN,unknown,Lost,unknown,0.362567356,True,https://litakerforcongress.com,https://www.facebook.com/people/Robin-Litaker-for-Congress/61553540456513/,https://x.com/RobinLitaker,https://www.instagram.com/litakerforcongress,,https://www.facebook.com/robin.litaker,https://www.linkedin.com/in/robin-litaker-ed-d-0511555/
13,"ERIC A. \""RICK\"" CRAWFORD",2024,federal:house,AR,1,REPUBLICAN,unknown,Won,unknown,0.728771563,False,,,,,,,
14,RODNEY GOVENS,2024,federal:house,AR,1,DEMOCRAT,unknown,Lost,unknown,0.239964518,True,https://rodneyforcongress.org,https://www.facebook.com/rodneygovensforcongress,https://x.com/rodney4arkansas,https://www.instagram.com/rodneyforcongress/,,https://www.facebook.com/rodney.govens,https://www.linkedin.com/in/rodney-govens-b7b91541/
