request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335803&c-r-ot=S",c-t-id,335803,"PERRY, RUSSET W",c-t-eid,58873179,"PERRY, RUSSET W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7853,"SENATE DISTRICT 031",c-t-ico,O,Open,c-r-ot,S,"State Senate",2424,6438662.81
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336260&c-r-ot=S",c-t-id,336260,"SEGURA, JUAN PABLO",c-t-eid,59095422,"SEGURA, JUAN PABLO",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7853,"SENATE DISTRICT 031",c-t-ico,O,Open,c-r-ot,S,"State Senate",739,5621094.01
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336243&c-r-ot=S",c-t-id,336243,"VANVALKENBURG, SCHUYLER",c-t-eid,59095405,"VANVALKENBURG, SCHUYLER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7838,"SENATE DISTRICT 016",c-t-ico,C,Challenger,c-r-ot,S,"State Senate",2574,5441829.23
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336251&c-r-ot=S",c-t-id,336251,"MASON, T MONTY",c-t-eid,59095413,"MASON, T MONTY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7846,"SENATE DISTRICT 024",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",2447,5390121.78
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336242&c-r-ot=S",c-t-id,336242,"DUNNAVANT, SIOBHAN",c-t-eid,59095404,"DUNNAVANT, SIOBHAN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7838,"SENATE DISTRICT 016",c-t-ico,I,Incumbent,c-r-ot,S,"State Senate",1635,5265378.55
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336252&c-r-ot=S",c-t-id,336252,"DIGGS, DANNY (JD)",c-t-eid,59095414,"DIGGS, DANNY (JD)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7846,"SENATE DISTRICT 024",c-t-ico,C,Challenger,c-r-ot,S,"State Senate",2186,4409047.93
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336186&c-r-ot=H",c-t-id,336186,"COLE, JOSHUA",c-t-eid,59095348,"COLE, JOSHUA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7787,"HOUSE DISTRICT 065",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",1821,4203249.91
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335800&c-r-ot=S",c-t-id,335800,"GRIFFIN, JOEL L",c-t-eid,58873177,"GRIFFIN, JOEL L",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7849,"SENATE DISTRICT 027",c-t-ico,O,Open,c-r-ot,S,"State Senate",645,4041182.37
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336223&c-r-ot=H",c-t-id,336223,"FEGGANS, MICHAEL",c-t-eid,59095385,"FEGGANS, MICHAEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7819,"HOUSE DISTRICT 097",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",2168,3553140.71
"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336134&c-r-ot=H",c-t-id,336134,"THOMAS, JOSHUA",c-t-eid,59095296,"THOMAS, JOSHUA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,Standard,c-r-osid,7743,"HOUSE DISTRICT 021",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",1243,3431503.29
