State,Race,Year,District,Republican Candidate,Republican Wiki URL,Republican Vote %,Democrat Candidate,Democrat Wiki URL,Democrat Vote %,Winner,Republican Campaign Site,Democrat Campaign Site,Republican Campaign Facebook,Republican Campaign X,Republican Campaign Instagram,Republican Personal Website,Republican Personal Facebook,Republican Personal LinkedIn,Democrat Campaign Facebook,Democrat Campaign X,Democrat Campaign Instagram,Democrat Personal Website,Democrat Personal Facebook,Democrat Personal LinkedIn
Alabama,US House of Representatives,2024,1,Barry Moore,https://en.wikipedia.org/wiki/Barry_Moore_(American_politician),78.4,Tom Holmes,"",21.5,Barry Moore,http://barrymooreforcongress.com,https://www.tomholmesal.com,"","","","","","",https://www.facebook.com/profile.php?id=61553656102427,"","","",https://www.facebook.com/tom.holmes.3781,https://www.linkedin.com/in/tom-holmes-2478a221/
Alabama,US House of Representatives,2024,2,Caroleene Dobson,"",45.4,Shomari Figures,https://en.wikipedia.org/wiki/Shomari_Figures,54.6,Shomari Figures,https://www.dobsonforalabama.com,http://figuresforcongress.com,https://www.facebook.com/DobsonforAlabama/,https://x.com/DobsonForAL,https://www.instagram.com/dobsonforalabama/,https://www.maynardnexsen.com/professionals-caroleene-hardee-dobson,"",https://www.linkedin.com/in/caroleene-hardee-dobson-a3319559/,"","","","","",""
Alabama,US House of Representatives,2024,3,Mike Rogers,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician),97.9,"","",,Mike Rogers,http://mikerogersforcongress.com,"","","","","","","","","","","","",""
Alabama,US House of Representatives,2024,4,Robert Aderholt,https://en.wikipedia.org/wiki/Robert_Aderholt,98.8,"","",,Robert Aderholt,http://aderholtforcongress.org,"","","","","","","","","","","","",""
Alabama,US House of Representatives,2024,5,Dale Strong,https://en.wikipedia.org/wiki/Dale_Strong,95.4,"","",,Dale Strong,http://dalestrongforcongress.com,"","","","","","","","","","","","",""
Alabama,US House of Representatives,2024,6,Gary Palmer,https://en.wikipedia.org/wiki/Gary_Palmer_(politician),70.3,Elizabeth Anderson,"",29.6,Gary Palmer,http://palmerforalabama.com,https://www.eaforcongress.com/vote,"","","","","","","","","","","",https://www.linkedin.com/in/elizabeth-anderson-76b77840/
Alabama,US House of Representatives,2024,7,Robin Litaker,"",36.3,Terri Sewell,https://en.wikipedia.org/wiki/Terri_Sewell,63.7,Terri Sewell,https://litakerforcongress.com,http://sewellforcongress.com,https://www.facebook.com/people/Robin-Litaker-for-Congress/61553540456513/,https://x.com/RobinLitaker,https://www.instagram.com/litakerforcongress,"",https://www.facebook.com/robin.litaker,https://www.linkedin.com/in/robin-litaker-ed-d-0511555/,"","","","","",""
North Carolina,US House of Representatives,2024,1,Laurie Buckhout,https://en.wikipedia.org/wiki/Laurie_Buckhout,47.8,Don Davis,https://en.wikipedia.org/wiki/Don_Davis_(North_Carolina_politician),49.5,Don Davis,https://www.lauriebuckhoutforcongress.com/,http://votedondavis.com,https://www.facebook.com/lauriebuckhout,https://x.com/lauriebuckhout,https://www.instagram.com/lauriebuckhout/,"",https://www.facebook.com/la.bu.94801,https://www.linkedin.com/in/laurie-moe-buckhout-003a5a7/,"","","","","",""
North Carolina,US House of Representatives,2024,2,Alan Swain,"",31.6,Deborah Ross,https://en.wikipedia.org/wiki/Deborah_Ross_(politician),66.3,Deborah Ross,https://www.swainforcongress.com,http://deborahross.com,https://www.facebook.com/swain4congress,https://x.com/swain4congress,https://www.instagram.com/swain4congress/,"",https://www.facebook.com/alan.swain.37,"","","","","","",""
North Carolina,US House of Representatives,2024,3,Greg Murphy,https://en.wikipedia.org/wiki/Greg_Murphy_(politician),77.4,"","",,Greg Murphy,http://murphy4congress.com,"","","","","","","","","","","","",""
