cand_name,year,election_type,state,district,party,incumbency_status,race_outcome,percentage_votes
Steven L. Reed,2023,Mayor,Alabama,Montgomery,DEMOCRAT,TRUE,Won,56.9
Barrett Gilbreath,2023,Mayor,Alabama,Montgomery,NONPARTISAN,FALSE,Lost,38.8
Regina Romero,2023,Mayor,Arizona,Tucson,DEMOCRAT,TRUE,Won,59.9
Janet Wittenbraker,2023,Mayor,Arizona,Tucson,REPUBLICAN,FALSE,Lost,32
Mike Coffman,2023,Mayor,Colorado,Aurora,REPUBLICAN,TRUE,Won,52.6
Juan Marcano,2023,Mayor,Colorado,Aurora,DEMOCRAT,FALSE,Lost,40.6
Yemi Mobolade,2023,Mayor,Colorado,Colorado Springs,INDEPENDENT,FALSE,Won,57.5
Wayne W. Williams ,2023,Mayor,Colorado,Colorado Springs,REPUBLICAN,FALSE,Lost,42.5
Michael Johnston,2023,Mayor,Colorado,Denver,DEMOCRAT,FALSE,Won,55.2
Kelly Brough,2023,Mayor,Colorado,Denver,DEMOCRAT,FALSE,Lost,44.8
Arunan Arulampalam,2023,Mayor,Connecticut,Hartford,DEMOCRAT,FALSE,Won,62
Nick Lebron ,2023,Mayor,Connecticut,Hartford,INDEPENDENT,FALSE,Lost,12
Robin Christiansen,2023,Mayor,Delaware,Dover,DEMOCRAT,TRUE,Won,63.1
Diana Welch,2023,Mayor,Delaware,Dover,NONPARTISAN,FALSE,Lost,36.9
Donna Deegan,2023,Mayor,Florida,Jacksonville,DEMOCRAT,FALSE,Won,52.1
Daniel Davis,2023,Mayor,Florida,Jacksonville,REPUBLICAN,FALSE,Lost,47.9
Buddy Dyer,2023,Mayor,Florida,Orlando,DEMOCRAT,TRUE,Won,72.8
Steve Dixon,2023,Mayor,Florida,Orlando,REPUBLICAN,FALSE,Lost,14.9
Jane Castor,2023,Mayor,Florida,Tampa,DEMOCRAT,TRUE,Won,80.1
Belinda Noah,2023,Mayor,Florida,Tampa,REPUBLICAN,FALSE,Lost,7.5
Lauren McLean,2023,Mayor,Idaho,Boise,DEMOCRAT,TRUE,Won,55.4
Mike Masterson,2023,Mayor,Idaho,Boise,NONPARTISAN,FALSE,Lost,43.4
Brandon Johnson,2023,Mayor,Illinois,Chicago,DEMOCRAT,FALSE,Won,52.2
Paul Vallas,2023,Mayor,Illinois,Chicago,DEMOCRAT,FALSE,Lost,47.8
