,request,Candidate:token,Candidate:id,Candidate,cand_name,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,race_outcome,Specific_Party:token,Specific_Party:id,party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,state,Election_Year:token,Election_Year:id,year,Election_Type:token,Election_Type:id,special_election,Office_Sought:token,Office_Sought:id,district,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,election_type,#_of_Records,Total_$
0,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335803&c-r-ot=S",c-t-id,335803,"PERRY, RUSSET W",Russet W Perry,c-t-eid,58873179,"PERRY, RUSSET W",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7853,31,c-t-ico,O,Open,c-r-ot,S,State Senate,2424,6438662.81
1,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336260&c-r-ot=S",c-t-id,336260,"SEGURA, JUAN PABLO",Juan Pablo Segura,c-t-eid,59095422,"SEGURA, JUAN PABLO",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7853,31,c-t-ico,O,Open,c-r-ot,S,State Senate,739,5621094.01
2,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336243&c-r-ot=S",c-t-id,336243,"VANVALKENBURG, SCHUYLER",Schuyler Vanvalkenburg,c-t-eid,59095405,"VANVALKENBURG, SCHUYLER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7838,16,c-t-ico,C,Challenger,c-r-ot,S,State Senate,2574,5441829.23
3,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336251&c-r-ot=S",c-t-id,336251,"MASON, T MONTY",T Monty Mason,c-t-eid,59095413,"MASON, T MONTY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7846,24,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,2447,5390121.78
4,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336242&c-r-ot=S",c-t-id,336242,"DUNNAVANT, SIOBHAN",Siobhan Dunnavant,c-t-eid,59095404,"DUNNAVANT, SIOBHAN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7838,16,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1635,5265378.55
5,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336252&c-r-ot=S",c-t-id,336252,"DIGGS, DANNY (JD)",Danny (Jd) Diggs,c-t-eid,59095414,"DIGGS, DANNY (JD)",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7846,24,c-t-ico,C,Challenger,c-r-ot,S,State Senate,2186,4409047.93
6,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336186&c-r-ot=H",c-t-id,336186,"COLE, JOSHUA",Joshua Cole,c-t-eid,59095348,"COLE, JOSHUA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7787,65,c-t-ico,O,Open,c-r-ot,H,State House,1821,4203249.91
7,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335800&c-r-ot=S",c-t-id,335800,"GRIFFIN, JOEL L",Joel L Griffin,c-t-eid,58873177,"GRIFFIN, JOEL L",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7849,27,c-t-ico,O,Open,c-r-ot,S,State Senate,645,4041182.37
8,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336223&c-r-ot=H",c-t-id,336223,"FEGGANS, MICHAEL",Michael Feggans,c-t-eid,59095385,"FEGGANS, MICHAEL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7819,97,c-t-ico,C,Challenger,c-r-ot,H,State House,2168,3553140.71
9,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336134&c-r-ot=H",c-t-id,336134,"THOMAS, JOSHUA",Joshua Thomas,c-t-eid,59095296,"THOMAS, JOSHUA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7743,21,c-t-ico,O,Open,c-r-ot,H,State House,1243,3431503.29
10,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335741&c-r-ot=S",c-t-id,335741,"DURANT, TARA A",Tara A Durant,c-t-eid,58873127,"DURANT, TARA A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7849,27,c-t-ico,O,Open,c-r-ot,S,State Senate,647,3388545.34
11,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335775&c-r-ot=H",c-t-id,335775,"ADAMS, KIMBERLY POPE",Kimberly Pope Adams,c-t-eid,58873161,"ADAMS, KIMBERLY POPE",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7804,82,c-t-ico,C,Challenger,c-r-ot,H,State House,1288,2987082.74
12,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336219&c-r-ot=H",c-t-id,336219,"GREENHALGH, KAREN S",Karen S Greenhalgh,c-t-eid,53866928,"GREENHALGH, KAREN S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7819,97,c-t-ico,I,Incumbent,c-r-ot,H,State House,570,2910328.03
13,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335880&c-r-ot=S",c-t-id,335880,"GOPAL, VIN",Vin Gopal,c-t-eid,58887223,"GOPAL, VIN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,NJ,NJ,y,2023,2023,c-r-t,1,FALSE,c-r-osid,5385,11,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1911,2836229.8
14,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335795&c-r-ot=S",c-t-id,335795,"LUCAS, L LOUISE",L Louise Lucas,c-t-eid,5704336,"LUCAS, L LOUISE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7840,18,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1001,2834265.47
15,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336204&c-r-ot=H",c-t-id,336204,"TAYLOR, KIM A",Kim A Taylor,c-t-eid,59095366,"TAYLOR, KIM A",c-t-ftsts,Pending-General,Pending-General,c-t-sts,4,Pending,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7804,82,c-t-ico,I,Incumbent,c-r-ot,H,State House,687,2820670.66
16,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335737&c-r-ot=S",c-t-id,335737,"BREWER, EMILY MARIE",Emily Marie Brewer,c-t-eid,43620489,"BREWER, EMILY MARIE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7839,17,c-t-ico,O,Open,c-r-ot,S,State Senate,612,2785711.08
17,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335777&c-r-ot=H",c-t-id,335777,"CLARK, NADARIUS E",Nadarius E Clark,c-t-eid,58873163,"CLARK, NADARIUS E",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7806,84,c-t-ico,O,Open,c-r-ot,H,State House,715,2758492.32
18,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336212&c-r-ot=H",c-t-id,336212,"SCOTT JR, DON L",Don L Scott Jr,c-t-eid,59095374,"SCOTT JR, DON L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7810,88,c-t-ico,I,Incumbent,c-r-ot,H,State House,837,2752973.64
19,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336249&c-r-ot=S",c-t-id,336249,"ROUSE, AARON A",Aaron A Rouse,c-t-eid,59095411,"ROUSE, AARON A",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7844,22,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,1491,2736069.44
20,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336259&c-r-ot=S",c-t-id,336259,"ROEM, DANICA",Danica Roem,c-t-eid,59095421,"ROEM, DANICA",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7852,30,c-t-ico,O,Open,c-r-ot,S,State Senate,2273,2671708.78
21,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335716&c-r-ot=H",c-t-id,335716,"PETERS III, LEE",Lee Peters Iii,c-t-eid,58873103,"PETERS III, LEE",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7787,65,c-t-ico,O,Open,c-r-ot,H,State House,223,2522108.09
22,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335791&c-r-ot=S",c-t-id,335791,"AIRD, LASHRECSE D",Lashrecse D Aird,c-t-eid,29320721,"AIRD, LASHRECSE D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7835,13,c-t-ico,O,Open,c-r-ot,S,State Senate,1293,2471576.65
23,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335705&c-r-ot=H",c-t-id,335705,"STIRRUP, JOHN T",John T Stirrup,c-t-eid,58873095,"STIRRUP, JOHN T",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7743,21,c-t-ico,O,Open,c-r-ot,H,State House,347,2422289.53
24,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336136&c-r-ot=H",c-t-id,336136,"NEMBHARD, TRAVIS",Travis Nembhard,c-t-eid,59095298,"NEMBHARD, TRAVIS",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7744,22,c-t-ico,O,Open,c-r-ot,H,State House,1132,2379070.61
25,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336263&c-r-ot=S",c-t-id,336263,"SUROVELL, SCOTT",Scott Surovell,c-t-eid,59095425,"SUROVELL, SCOTT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7856,34,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,2122,2228554.25
26,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336244&c-r-ot=S",c-t-id,336244,"JENKINS, CLINTON",Clinton Jenkins,c-t-eid,59095406,"JENKINS, CLINTON",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7839,17,c-t-ico,O,Open,c-r-ot,S,State Senate,234,2144536.82
27,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336250&c-r-ot=S",c-t-id,336250,"LOCKE, MAMIE",Mamie Locke,c-t-eid,59095412,"LOCKE, MAMIE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7845,23,c-t-ico,I,Incumbent,c-r-ot,S,State Senate,803,2039706.2
28,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335746&c-r-ot=S",c-t-id,335746,"WOOLF III, BILL C",Bill C Woolf Iii,c-t-eid,58873132,"WOOLF III, BILL C",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7852,30,c-t-ico,O,Open,c-r-ot,S,State Senate,310,2011903.18
29,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335765&c-r-ot=H",c-t-id,335765,"GIBSON, SUSANNA S",Susanna S Gibson,c-t-eid,58873151,"GIBSON, SUSANNA S",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7779,57,c-t-ico,O,Open,c-r-ot,H,State House,1651,1862322.93
30,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336177&c-r-ot=H",c-t-id,336177,"WILLETT, RODNEY TURNER",Rodney Turner Willett,c-t-eid,6151829,"WILLETT, RODNEY TURNER",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7780,58,c-t-ico,I,Incumbent,c-r-ot,H,State House,1179,1853335.41
31,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336135&c-r-ot=H",c-t-id,336135,"LOVEJOY, IAN",Ian Lovejoy,c-t-eid,59095297,"LOVEJOY, IAN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7744,22,c-t-ico,O,Open,c-r-ot,H,State House,282,1809898.65
32,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336147&c-r-ot=H",c-t-id,336147,"BANSE, ROB",Rob Banse,c-t-eid,59095309,"BANSE, ROB",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7752,30,c-t-ico,O,Open,c-r-ot,H,State House,968,1804624.39
33,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=335808&c-r-ot=S",c-t-id,335808,"FOY, JENNIFER D CARROLL",Jennifer D Carroll Foy,c-t-eid,58873183,"FOY, JENNIFER D CARROLL",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7855,33,c-t-ico,O,Open,c-r-ot,S,State Senate,1207,1789110.33
34,"dt=1&y=2023&f-fc=2&c-exi=1&c-r-ot=S,H&c-t-id=336166&c-r-ot=H",c-t-id,336166,"KILGORE, TERRY G",Terry G Kilgore,c-t-eid,59095328,"KILGORE, TERRY G",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,VA,VA,y,2023,2023,c-r-t,1,FALSE,c-r-osid,7767,45,c-t-ico,I,Incumbent,c-r-ot,H,State House,549,1756653.96
